Timestamp,Reading,Unit,LDC_Val
2023-12-28 18:07:25.462640,48.79,mm,1
2023-12-28 18:07:25.905260,48.79,mm,1
2023-12-28 18:07:26.235956,48.79,mm,2
2023-12-28 18:07:26.444537,48.79,mm,2
2023-12-28 18:07:26.748654,48.79,mm,1
2023-12-28 18:07:26.988338,48.79,mm,2
2023-12-28 18:07:27.316473,48.79,mm,3
2023-12-28 18:07:27.591046,48.79,mm,3
2023-12-28 18:07:27.685592,48.79,mm,3
2023-12-28 18:07:27.685592,48.79,mm,3
2023-12-28 18:07:27.999158,48.79,mm,3
2023-12-28 18:07:28.504314,48.79,mm,3
2023-12-28 18:07:28.930397,48.79,mm,2
2023-12-28 18:07:29.572217,48.79,mm,2
2023-12-28 18:07:29.817789,48.79,mm,2
2023-12-28 18:07:30.164893,48.79,mm,3
2023-12-28 18:07:30.388555,48.79,mm,3
2023-12-28 18:07:30.956684,48.79,mm,1
2023-12-28 18:07:31.163739,48.79,mm,2
2023-12-28 18:07:31.163739,48.79,mm,2
2023-12-28 18:07:31.163739,48.79,mm,2
2023-12-28 18:07:31.164736,48.79,mm,2
2023-12-28 18:07:31.164736,48.79,mm,2
2023-12-28 18:07:31.287560,48.79,mm,3
2023-12-28 18:07:31.572619,48.79,mm,4
2023-12-28 18:07:31.887885,48.79,mm,5
2023-12-28 18:07:32.203571,48.81,mm,6
2023-12-28 18:07:32.599290,48.79,mm,6
2023-12-28 18:07:32.961995,48.79,mm,6
2023-12-28 18:07:33.372108,48.82,mm,6
2023-12-28 18:07:33.640218,48.63,mm,7
2023-12-28 18:07:33.957323,47.01,mm,7
2023-12-28 18:07:34.210896,45.24,mm,7
2023-12-28 18:07:34.433942,43.57,mm,7
2023-12-28 18:07:34.737063,42.20,mm,7
2023-12-28 18:07:35.114375,40.54,mm,5
2023-12-28 18:07:35.447470,38.98,mm,4
2023-12-28 18:07:35.741140,37.64,mm,4
2023-12-28 18:07:36.002204,36.66,mm,4
2023-12-28 18:07:36.583549,35.47,mm,4
2023-12-28 18:07:36.915124,34.56,mm,3
2023-12-28 18:07:37.164177,33.29,mm,1
2023-12-28 18:07:37.428744,32.51,mm,0
2023-12-28 18:07:37.815478,31.02,mm,-1
2023-12-28 18:07:38.191131,29.43,mm,-3
2023-12-28 18:07:38.570229,28.03,mm,-6
2023-12-28 18:07:38.916462,27.77,mm,-11
2023-12-28 18:07:39.186038,27.77,mm,-14
2023-12-28 18:07:39.565344,27.57,mm,-23
2023-12-28 18:07:39.944951,25.51,mm,-35
2023-12-28 18:07:40.293044,24.03,mm,-49
2023-12-28 18:07:40.450562,22.97,mm,-57
2023-12-28 18:07:40.451718,22.05,mm,-57
2023-12-28 18:07:40.498241,21.11,mm,-59
2023-12-28 18:07:40.780830,20.04,mm,-74
2023-12-28 18:07:41.035387,19.18,mm,-89
2023-12-28 18:07:41.458709,18.53,mm,-125
2023-12-28 18:07:41.775838,17.74,mm,-185
2023-12-28 18:07:42.012393,16.97,mm,-247
2023-12-28 18:07:42.090941,16.34,mm,-249
2023-12-28 18:07:42.508040,15.36,mm,-249
2023-12-28 18:07:42.766729,14.51,mm,-249
2023-12-28 18:07:42.900771,13.82,mm,-265
2023-12-28 18:07:43.157827,13.10,mm,-331
2023-12-28 18:07:43.332872,12.64,mm,-410
2023-12-28 18:07:43.490447,12.05,mm,-477
2023-12-28 18:07:43.599980,11.63,mm,-516
2023-12-28 18:07:43.930651,10.97,mm,-676
2023-12-28 18:07:44.370851,10.37,mm,-999
