Timestamp,Reading,Unit,LDC_Val
2023-12-28 18:18:50.115385,27.08,mm,-9
2023-12-28 18:18:50.449039,26.98,mm,-9
2023-12-28 18:18:50.480561,26.84,mm,-9
2023-12-28 18:18:50.576098,26.60,mm,-9
2023-12-28 18:18:50.847177,26.42,mm,-9
2023-12-28 18:18:51.108746,26.21,mm,-9
2023-12-28 18:18:51.381978,26.06,mm,-9
2023-12-28 18:18:51.429980,25.82,mm,-9
2023-12-28 18:18:51.682560,25.62,mm,-10
2023-12-28 18:18:52.013141,25.32,mm,-10
2023-12-28 18:18:52.174190,25.11,mm,-10
2023-12-28 18:18:52.552322,24.94,mm,-10
2023-12-28 18:18:52.772272,24.66,mm,-10
2023-12-28 18:18:53.230905,24.41,mm,-11
2023-12-28 18:18:53.404333,24.23,mm,-11
2023-12-28 18:18:53.405335,24.04,mm,-11
2023-12-28 18:18:53.746929,23.86,mm,-11
2023-12-28 18:18:54.031498,23.63,mm,-11
2023-12-28 18:18:54.308838,23.53,mm,-12
2023-12-28 18:18:54.349848,23.39,mm,-11
2023-12-28 18:18:54.748948,23.27,mm,-12
2023-12-28 18:18:55.122053,23.10,mm,-12
2023-12-28 18:18:55.139070,22.90,mm,-12
2023-12-28 18:18:55.557233,22.71,mm,-12
2023-12-28 18:18:55.820287,22.51,mm,-13
2023-12-28 18:18:55.867817,22.34,mm,-12
2023-12-28 18:18:56.213213,22.10,mm,-13
2023-12-28 18:18:56.419264,21.97,mm,-13
2023-12-28 18:18:56.783364,21.85,mm,-13
2023-12-28 18:18:57.477170,21.70,mm,-14
2023-12-28 18:18:57.948301,21.56,mm,-14
2023-12-28 18:18:58.341250,21.40,mm,-15
2023-12-28 18:18:58.452781,21.40,mm,-15
2023-12-28 18:18:58.453782,21.37,mm,-15
2023-12-28 18:18:58.531301,21.34,mm,-15
2023-12-28 18:18:58.686350,21.09,mm,-16
2023-12-28 18:18:59.015956,20.68,mm,-17
2023-12-28 18:18:59.269537,20.16,mm,-18
2023-12-28 18:18:59.317344,19.75,mm,-18
2023-12-28 18:18:59.318346,19.43,mm,-18
2023-12-28 18:18:59.856303,19.10,mm,-19
2023-12-28 18:19:00.297262,18.77,mm,-22
2023-12-28 18:19:00.503046,18.44,mm,-22
2023-12-28 18:19:00.503046,18.11,mm,-22
2023-12-28 18:19:00.503046,17.85,mm,-22
2023-12-28 18:19:00.865981,17.52,mm,-24
2023-12-28 18:19:00.927985,17.31,mm,-24
2023-12-28 18:19:01.588716,17.12,mm,-27
2023-12-28 18:19:01.621719,16.88,mm,-27
2023-12-28 18:19:01.732244,16.77,mm,-27
2023-12-28 18:19:02.230868,16.62,mm,-28
2023-12-28 18:19:02.466996,16.50,mm,-30
2023-12-28 18:19:02.846576,16.38,mm,-31
