Timestamp,Reading,Unit
2023-12-28 00:51:22.744220,16.38,mm
2023-12-28 00:51:22.983794,16.26,mm
2023-12-28 00:51:23.223366,16.22,mm
2023-12-28 00:51:23.478928,16.10,mm
2023-12-28 00:51:23.718981,15.96,mm
2023-12-28 00:51:23.959306,15.86,mm
2023-12-28 00:51:24.198352,15.77,mm
2023-12-28 00:51:24.454478,15.62,mm
2023-12-28 00:51:24.694524,15.48,mm
2023-12-28 00:51:24.934560,15.31,mm
2023-12-28 00:51:25.174128,14.91,mm
2023-12-28 00:51:25.414182,13.74,mm
2023-12-28 00:51:25.669784,12.60,mm
2023-12-28 00:51:25.908841,11.57,mm
2023-12-28 00:51:26.148409,10.43,mm
2023-12-28 00:51:26.388973,9.19,mm
2023-12-28 00:51:26.644192,7.83,mm
2023-12-28 00:51:26.884362,6.29,mm
2023-12-28 00:51:27.124426,4.25,mm
2023-12-28 00:51:27.363671,2.47,mm
2023-12-28 00:51:27.620207,1.36,mm
2023-12-28 00:51:27.859790,0.58,mm
2023-12-28 00:51:28.099055,0.54,mm
2023-12-28 00:51:28.339117,0.52,mm
2023-12-28 00:51:28.594710,0.52,mm
2023-12-28 00:51:28.834748,0.00,mm
2023-12-28 00:51:29.074322,-0.03,mm
2023-12-28 00:51:29.314379,0.00,mm
2023-12-28 00:51:29.570531,0.00,mm
2023-12-28 00:51:29.809585,-0.01,mm
2023-12-28 00:51:30.082189,0.00,mm
2023-12-28 00:51:30.321233,-0.03,mm
2023-12-28 00:51:30.561801,-0.03,mm
2023-12-28 00:51:30.817395,-0.04,mm
2023-12-28 00:51:31.056973,-0.02,mm
2023-12-28 00:51:31.297005,0.00,mm
2023-12-28 00:51:31.536399,0.00,mm
2023-12-28 00:51:31.775800,0.00,mm
2023-12-28 00:51:32.031856,0.00,mm
2023-12-28 00:51:32.271444,0.00,mm
2023-12-28 00:51:32.511681,0.00,mm
2023-12-28 00:51:32.751702,0.00,mm
2023-12-28 00:51:33.007282,0.00,mm
2023-12-28 00:51:33.247343,0.00,mm
2023-12-28 00:51:33.486901,0.00,mm
2023-12-28 00:51:33.726950,0.00,mm
2023-12-28 00:51:33.982545,0.00,mm
2023-12-28 00:51:34.222245,0.00,mm
2023-12-28 00:51:34.461809,0.00,mm
2023-12-28 00:51:34.701846,0.00,mm
2023-12-28 00:51:34.957178,0.00,mm
2023-12-28 00:51:35.197226,0.00,mm
2023-12-28 00:51:35.437274,0.00,mm
2023-12-28 00:51:35.676884,0.00,mm
2023-12-28 00:51:35.916949,0.00,mm
